1
2
3
4
5
6
7
8
9
10
11,0,1142,970,61,110
11,1,218,358,109,189
11,2,1582,254,101,129
11,3,1402,234,57,109
11,4,1038,218,97,165
11,5,1806,198,57,129
11,6,1042,130,73,89
12,0,1142,970,65,110
12,1,222,358,105,181
12,2,1578,250,105,173
12,3,1402,234,57,105
12,4,1038,130,89,253
12,5,1810,198,53,129
12,7,518,134,81,97
13,0,1138,970,69,110
13,1,210,358,117,241
13,2,1574,250,105,173
13,3,1394,218,65,145
13,4,1038,130,81,253
13,5,1810,198,57,129
14,0,1150,970,61,110
14,1,210,354,117,245
14,2,1574,250,105,173
14,3,1394,218,65,137
14,4,1038,130,77,253
14,5,1810,198,57,133
14,8,0,842,51,105
15,0,1150,970,61,110
15,1,210,362,117,237
15,2,1574,246,105,177
15,3,1390,214,69,145
15,4,1038,130,77,253
15,5,1810,198,61,137
15,8,0,842,55,101
15,9,1470,246,61,109
15,10,538,202,41,133
15,11,890,194,81,105
16,0,1150,970,61,110
16,1,218,362,109,237
16,2,1574,246,105,177
16,3,1390,218,69,141
16,4,1038,130,77,257
16,5,1806,198,61,137
16,8,0,842,55,101
16,9,1466,246,65,109
16,10,542,170,61,165
17,0,1154,970,61,110
17,1,218,362,109,237
17,2,1574,246,105,181
17,3,1394,218,65,125
17,4,1030,130,85,257
17,5,1802,198,65,137
17,8,0,834,55,109
17,9,1466,246,65,109
17,11,866,206,89,117
17,12,382,514,57,141
18,0,1150,970,65,110
18,1,218,354,109,245
18,2,1578,246,101,177
18,3,1390,190,69,153
18,4,1026,130,89,253
18,5,1802,198,69,137
18,8,0,838,55,109
18,11,866,206,93,117
18,12,382,510,69,145
19,0,1154,970,65,110
19,1,218,354,109,245
19,2,1574,246,105,173
19,3,1390,218,69,125
19,4,1020,130,95,253
19,5,1802,198,69,137
19,8,0,834,55,113
19,9,1430,246,77,157
19,11,866,206,93,117
19,12,382,510,69,145
20,0,1154,970,65,110
20,1,218,362,109,237
20,2,1574,242,105,173
20,3,1386,186,73,157
20,4,1002,130,113,253
20,5,1802,198,69,137
20,8,0,834,59,121
20,9,1426,246,81,157
20,11,862,206,93,121
20,12,374,466,77,189
20,13,510,250,69,89
21,0,1154,970,69,110
21,1,218,362,109,237
21,2,1578,242,101,141
21,3,1386,222,73,121
21,4,990,130,125,253
21,5,1802,198,69,137
21,8,0,834,59,125
21,9,1426,246,81,149
21,11,862,206,93,105
21,12,374,462,77,193
21,13,510,250,65,89
21,14,422,62,77,89
22,0,1154,970,69,110
22,1,214,350,113,249
22,2,1578,242,101,141
22,3,1382,210,77,133
22,4,986,130,129,253
22,5,1802,198,73,137
22,8,0,830,63,129
22,9,1426,246,81,149
22,11,862,206,89,105
22,12,374,462,77,193
22,13,510,246,65,85
22,14,422,62,77,89
22,15,230,94,61,89
23,0,1154,970,73,110
23,1,214,350,113,249
23,2,1574,242,129,161
23,3,1378,222,81,121
23,4,982,130,133,253
23,5,1802,198,73,137
23,7,510,154,93,177
23,8,0,830,63,129
23,9,1426,246,73,149
23,11,862,206,93,105
23,12,374,462,81,193
23,14,422,62,77,89
23,15,230,94,61,93
24,0,1154,970,73,110
24,1,214,350,113,249
24,2,1606,242,97,161
24,4,982,130,133,253
24,5,1802,198,73,145
24,8,0,830,63,133
24,9,1378,226,125,169
24,11,862,202,109,125
24,12,374,458,81,197
24,13,510,214,77,133
24,15,230,94,89,93
25,0,1154,970,77,110
25,1,202,350,125,249
25,2,1574,242,129,161
25,4,978,130,137,249
25,5,1802,198,89,145
25,8,0,822,63,141
25,9,1378,206,125,189
25,11,862,202,113,125
25,12,374,458,81,197
25,13,546,174,57,153
25,14,422,54,77,97
25,15,226,94,93,97
25,16,494,134,53,101
26,0,1154,970,77,110
26,1,202,346,125,253
26,2,1602,242,101,161
26,4,982,130,133,249
26,5,1802,198,93,149
26,8,0,822,67,141
26,9,1378,206,125,189
26,11,862,202,113,109
26,12,374,458,81,197
26,14,418,54,81,97
26,15,226,82,93,109
26,16,494,134,61,101
27,0,1166,974,69,106
27,1,202,346,125,253
27,2,1602,242,101,161
27,4,984,130,131,249
27,5,1802,198,97,153
27,8,0,818,67,145
27,9,1378,226,125,169
27,11,862,206,109,105
27,12,374,458,81,197
27,13,494,134,61,221
27,14,436,58,63,93
27,15,246,82,73,109
28,0,1170,974,69,106
28,1,198,362,129,237
28,2,1602,238,101,165
28,4,984,130,131,249
28,5,1802,198,93,153
28,8,0,818,67,149
28,9,1374,210,129,185
28,11,862,206,113,105
28,12,374,454,81,201
28,13,542,182,61,141
28,14,434,54,61,97
28,15,226,82,93,113
28,17,494,134,61,221
29,0,1170,974,69,106
29,1,194,346,133,253
29,2,1570,238,133,165
29,4,984,130,131,249
29,5,1802,198,97,157
29,8,0,810,67,157
29,9,1374,206,129,189
29,11,862,206,113,105
